timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1486773016986,0,-41,-9.008789062499999E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773016996,0,-108,-2.3730468750000002E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017006,0,-157,-3.44970703125E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017025,0,-46,-1.0107421875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017036,0,103,2.26318359375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017060,0,68,1.4941406250000001E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017070,0,-172,-3.7792968750000005E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017096,0,92,2.021484375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017106,0,-183,-4.02099609375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017141,0,23,5.0537109375E-6,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017151,0,-71,-1.56005859375E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017175,0,-371,-8.151855468750001E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017185,0,2,4.39453125E-7,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017212,0,-131,-2.87841796875E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017222,0,101,2.2192382812500002E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017254,0,-154,-3.3837890625E-5,90,41,53,171137,157473,18230,3165,4309,16760534,1036,234971,Tag0,unknown
1486773017297,0,-177,-3.8891601562500006E-5,96,35,53,635983,544749,333694,20794,7483,250781,4266,1102518,Tag0,unknown
